region,variety,process,moisture,elevation,target
south of minas,Yellow Bourbon,Washed / Wet,0.1200,mid,fair
vale da grama,Bourbon,Natural / Dry,0.1200,mid,great
vale da grama,Bourbon,Semi-washed / Semi-pulped,0.1200,mid,great
vale da grama,Yellow Bourbon,Natural / Dry,0.0000,mid,great
vale da grama,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,mid,poor
kayanza,Bourbon,Washed / Wet,0.0000,high,good
dehong prefecture,Catimor,Washed / Wet,0.1000,mid,good
menglian,Catimor,Washed / Wet,0.1100,mid,good
xishuangbanna prefecture,Catimor,Pulped natural / honey,0.1200,mid,good
yunnan,Catimor,Natural / Dry,0.1000,low,fair
yunnan,Catimor,Natural / Dry,0.1000,high,great
yunnan,Catimor,Natural / Dry,0.1000,mid,great
yunnan,Catimor,Washed / Wet,0.1000,mid,great
yunnan,Catimor,Washed / Wet,0.1000,high,great
yunnan,Catimor,Washed / Wet,0.1000,mid,fair
yunnan,Catimor,Washed / Wet,0.1000,high,good
yunnan,Catimor,Washed / Wet,0.1000,low,good
yunnan,Catimor,Washed / Wet,0.1100,mid,good
yunnan,Other,Washed / Wet,0.0000,low,great
yunnan,Other,Washed / Wet,0.1700,high,poor
yunnan,Typica,Washed / Wet,0.0000,high,poor
yunnan,Typica,Washed / Wet,0.1000,mid,poor
antioquia,Caturra,Washed / Wet,0.1000,mid,poor
antioquia,Caturra,Washed / Wet,0.1000,mid,poor
antioquia,Other,Washed / Wet,0.1100,mid,good
cauca,Caturra,Washed / Wet,0.1100,high,fair
cauca,Caturra,Washed / Wet,0.1100,high,great
cauca,Other,Washed / Wet,0.1200,high,good
cauca,Other,Washed / Wet,0.1200,high,good
cundinamarca,Caturra,Natural / Dry,0.1100,high,great
cundinamarca,Caturra,Natural / Dry,0.0000,mid,good
cundinamarca,Caturra,Natural / Dry,0.1100,high,good
cundinamarca,Caturra,Washed / Wet,0.0000,high,good
cundinamarca,Caturra,Washed / Wet,0.0000,high,good
cundinamarca,Caturra,Washed / Wet,0.1100,mid,good
cundinamarca,Caturra,Washed / Wet,0.0000,high,good
cundinamarca,Caturra,Washed / Wet,0.0000,mid,fair
eje cafetero,Caturra,Natural / Dry,0.0000,mid,good
guayata,Caturra,Washed / Wet,0.1100,mid,good
