country,region,variety,process,moisture,elevation,target
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,poor
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,fair
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0800,low,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0100,low,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.1000,mid,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,low,good
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,0.1100,low,good
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,0.1100,low,fair
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,0.1100,low,good
Brazil,south of minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1200,mid,good
Brazil,south of minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,mid,fair
Brazil,south of minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.0000,mid,fair
Brazil,south of minas,Yellow Bourbon,Washed / Wet,0.1200,mid,fair
Brazil,vale da grama,Bourbon,Natural / Dry,0.1200,mid,great
Brazil,vale da grama,Bourbon,Semi-washed / Semi-pulped,0.1200,mid,great
Brazil,vale da grama,Yellow Bourbon,Natural / Dry,0.0000,mid,great
Brazil,vale da grama,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,mid,poor
Burundi,kayanza,Bourbon,Washed / Wet,0.0000,high,good
China,dehong prefecture,Catimor,Washed / Wet,0.1000,mid,good
China,menglian,Catimor,Washed / Wet,0.1100,mid,good
China,xishuangbanna prefecture,Catimor,Pulped natural / honey,0.1200,mid,good
China,yunnan,Catimor,Natural / Dry,0.1000,low,fair
China,yunnan,Catimor,Natural / Dry,0.1000,high,great
China,yunnan,Catimor,Natural / Dry,0.1000,mid,great
China,yunnan,Catimor,Washed / Wet,0.1000,mid,great
China,yunnan,Catimor,Washed / Wet,0.1000,high,great
China,yunnan,Catimor,Washed / Wet,0.1000,mid,fair
China,yunnan,Catimor,Washed / Wet,0.1000,high,good
China,yunnan,Catimor,Washed / Wet,0.1000,low,good
China,yunnan,Catimor,Washed / Wet,0.1100,mid,good
China,yunnan,Other,Washed / Wet,0.0000,low,great
China,yunnan,Other,Washed / Wet,0.1700,high,poor
China,yunnan,Typica,Washed / Wet,0.0000,high,poor
China,yunnan,Typica,Washed / Wet,0.1000,mid,poor
Colombia,antioquia,Caturra,Washed / Wet,0.1000,mid,poor
Colombia,antioquia,Caturra,Washed / Wet,0.1000,mid,poor
Colombia,antioquia,Other,Washed / Wet,0.1100,mid,good
Colombia,cauca,Caturra,Washed / Wet,0.1100,high,fair
Colombia,cauca,Caturra,Washed / Wet,0.1100,high,great
Colombia,cauca,Other,Washed / Wet,0.1200,high,good
Colombia,cauca,Other,Washed / Wet,0.1200,high,good
Colombia,cundinamarca,Caturra,Natural / Dry,0.1100,high,great
Colombia,cundinamarca,Caturra,Natural / Dry,0.0000,mid,good
Colombia,cundinamarca,Caturra,Natural / Dry,0.1100,high,good
