country,variety,process,moisture,target
China,Catimor,Natural / Dry,0.1000,fair
China,Catimor,Natural / Dry,0.1000,great
China,Catimor,Natural / Dry,0.1000,great
China,Catimor,Washed / Wet,0.1000,great
China,Catimor,Washed / Wet,0.1000,great
China,Catimor,Washed / Wet,0.1000,fair
China,Catimor,Washed / Wet,0.1000,good
China,Catimor,Washed / Wet,0.1000,good
China,Catimor,Washed / Wet,0.1100,good
China,Other,Washed / Wet,0.0000,great
China,Other,Washed / Wet,0.1700,poor
China,Typica,Washed / Wet,0.0000,poor
China,Typica,Washed / Wet,0.1000,poor
Colombia,Caturra,Washed / Wet,0.1000,poor
Colombia,Caturra,Washed / Wet,0.1000,poor
Colombia,Other,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.1100,great
Colombia,Other,Washed / Wet,0.1200,good
Colombia,Other,Washed / Wet,0.1200,good
Colombia,Caturra,Natural / Dry,0.1100,great
Colombia,Caturra,Natural / Dry,0.0000,good
Colombia,Caturra,Natural / Dry,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Natural / Dry,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Natural / Dry,0.1100,fair
Colombia,Caturra,Natural / Dry,0.0000,good
Colombia,Caturra,Natural / Dry,0.1200,good
Colombia,Caturra,Natural / Dry,0.0000,good
Colombia,Caturra,Natural / Dry,0.0000,fair
Colombia,Caturra,Natural / Dry,0.1100,good
Colombia,Caturra,Natural / Dry,0.1200,good
Colombia,Caturra,Natural / Dry,0.0000,poor
Colombia,Caturra,Natural / Dry,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,poor
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.1100,fair
